iter	Passed	Remaining
406	6439	9382
407	6455	9366
408	6471	9351
409	6484	9330
410	6497	9312
411	6514	9297
412	6527	9277
413	6542	9260
414	6558	9244
415	6572	9227
416	6586	9208
417	6600	9190
418	6615	9172
419	6628	9154
420	6643	9136
421	6656	9116
422	6669	9097
423	6684	9080
424	6699	9063
425	6714	9047
426	6729	9030
427	6743	9011
428	6759	8997
429	6775	8982
430	6792	8967
431	6809	8952
432	6824	8936
433	6838	8918
434	6851	8899
435	6867	8883
436	6884	8868
437	6902	8856
438	6918	8841
439	6934	8826
440	6951	8810
441	6968	8797
442	6984	8781
443	6999	8765
444	7014	8747
445	7028	8730
446	7042	8712
447	7056	8695
448	7070	8676
449	7085	8659
450	7098	8641
451	7113	8624
452	7127	8606
453	7140	8587
454	7153	8569
455	7168	8552
456	7181	8532
457	7194	8513
458	7211	8499
459	7226	8483
460	7242	8467
461	7256	8450
462	7270	8432
463	7286	8416
464	7301	8400
465	7313	8380
466	7325	8361
467	7340	8344
468	7358	8331
469	7371	8312
470	7385	8295
471	7401	8279
472	7415	8262
473	7429	8244
474	7444	8228
475	7458	8210
476	7472	8193
477	7486	8175
478	7502	8159
479	7519	8145
480	7534	8129
481	7549	8112
482	7562	8095
483	7575	8075
484	7590	8060
485	7605	8043
486	7624	8031
487	7639	8015
488	7655	7999
489	7674	7987
490	7687	7968
491	7700	7950
492	7713	7932
493	7728	7916
494	7744	7900
495	7761	7886
496	7776	7870
497	7792	7855
498	7809	7840
499	7825	7825
500	7843	7812
501	7860	7797
502	7875	7781
503	7891	7765
504	7907	7751
505	7922	7734
506	7936	7717
507	7950	7700
508	7965	7683
509	7979	7666
510	7993	7649
511	8008	7632
512	8024	7617
513	8037	7599
514	8052	7583
515	8067	7567
516	8083	7551
517	8099	7536
518	8115	7521
519	8131	7505
520	8147	7490
521	8161	7473
522	8177	7458
523	8192	7442
524	8208	7426
525	8223	7410
526	8238	7394
527	8254	7378
528	8266	7360
529	8279	7341
530	8294	7325
531	8309	7310
532	8324	7293
