iter	Logloss
0	0.6616074394
1	0.6331696797
2	0.6072070761
3	0.5837875316
4	0.5649341931
5	0.5451636224
6	0.5274932269
7	0.5107880712
8	0.4957631192
9	0.4819535617
10	0.470957862
11	0.4592905163
12	0.4491932916
13	0.4392801869
14	0.4308085714
15	0.4223888114
16	0.4151936512
17	0.4079728014
18	0.401384837
19	0.3955882691
20	0.3902247944
21	0.3854827636
22	0.3801686976
23	0.3757566208
24	0.3716013704
25	0.3680750508
26	0.3651894562
27	0.3619569477
28	0.3589831644
29	0.3559699353
30	0.3525823301
31	0.3495959963
32	0.347447159
33	0.3447157866
34	0.3424697967
35	0.340218391
36	0.3382054587
37	0.3360565533
38	0.3340297541
39	0.3327181554
40	0.3313267044
41	0.3300775637
42	0.3288192842
43	0.3272819945
44	0.3255969308
45	0.3242501214
46	0.3230493921
47	0.3216292509
48	0.3208888426
49	0.3197618751
50	0.3188548899
51	0.3175524789
52	0.3160660148
53	0.3153402689
54	0.3145075281
55	0.3133309313
56	0.3116847508
57	0.3106361512
58	0.3096333172
59	0.3089356833
60	0.3082312503
61	0.3074754279
62	0.3067226766
63	0.3059739445
64	0.3052097881
65	0.3045012475
66	0.3038181382
67	0.3027894913
68	0.3019963089
69	0.3013017022
70	0.3006660915
71	0.2996858015
72	0.298850613
73	0.2984169407
74	0.297748316
75	0.2970961687
76	0.2966406919
77	0.2957555216
78	0.2947985412
79	0.2935500973
80	0.2929610897
81	0.292514123
82	0.2920159503
83	0.2911799295
84	0.2907652259
85	0.2903766128
86	0.2898555637
87	0.2894562381
88	0.2892044942
89	0.288266266
90	0.2877576478
91	0.286812032
92	0.2861960173
93	0.2855937279
94	0.2851544971
95	0.284841789
96	0.2845331973
97	0.2839657447
98	0.2836270412
99	0.2832085686
100	0.2827408986
101	0.2822403055
102	0.2815108684
103	0.2810718175
104	0.2807701355
105	0.280431142
106	0.2797669416
107	0.2795040483
108	0.27909175
109	0.2786617868
110	0.278380453
111	0.2779989105
112	0.2774729898
113	0.27711848
114	0.27671488
115	0.2762893045
116	0.2760659494
117	0.2756801748
118	0.2754713248
119	0.2752117326
120	0.2747714901
121	0.274446182
122	0.2742393367
123	0.2737850339
124	0.2734738047
125	0.273114748
126	0.2728374791
127	0.2725995968
128	0.2722682353
129	0.2717809114
130	0.2714506177
131	0.2709868961
132	0.2707358269
133	0.2704322674
134	0.2701682599
135	0.2698012429
136	0.2694658654
137	0.269187358
138	0.2689287694
139	0.2685143736
140	0.268228905
141	0.2678628352
142	0.267232069
143	0.2667485975
144	0.2662671769
145	0.2659815207
146	0.2656061067
147	0.2652323877
148	0.26501025
149	0.264775688
150	0.2645965701
151	0.2642823156
152	0.2638966691
153	0.2636748551
154	0.263367292
155	0.2631740279
156	0.262854785
157	0.2626421801
158	0.2624420388
159	0.2620306675
160	0.2618094448
161	0.2616433637
162	0.2614066426
163	0.2610711121
164	0.2608194298
165	0.2605658914
